time_start,time_end,model,launch_place,target,target_main,launched,destroyed,not_reach_goal,still_attacking,border_crossing,is_shahed,num_hit_location,num_fall_fragment_location,carrier,turbojet,turbojet_destroyed,affected region,destroyed_details,launched_details,launch_place_details
2025-04-04 21:00,2025-04-05 9:00,Shahed-136/131,"Primorsko-Akhtarsk and Chauda, Crimea and Bryansk oblast and Millerovo",Ukraine,,92,51,31,,{},,,,,,,"['Sumy oblast', 'Kyiv oblast', 'Dnipropetrovsk oblast', 'Zhytomyr oblast']","{'south': 3, 'east': 23, 'north': NaN, 'center': NaN}",,
2025-04-04 19:00,2025-04-04 19:00,Ballistic Missile,,Kryvyi Rih,,1,0,,,{},,,,,,,,,,
2025-04-03 21:30,2025-04-04 8:30,Shahed-136/131,Primorsko-Akhtarsk and Kursk oblast and Bryansk oblast and Millerovo,Ukraine,,78,42,22,,{},,,,,,,"['Kharkiv oblast', 'Kyiv oblast', 'Dnipropetrovsk oblast', 'Zaporizhzhia oblast']","{'east': 34, 'north': NaN, 'center': NaN}",,
2025-04-04,2025-04-04,Молнія,,south,,1,1,,,{},,,,,,,,,,
2025-04-02 21:00,2025-04-03 9:00,Shahed-136/131,Primorsko-Akhtarsk and Kursk oblast and Millerovo,Ukraine,,39,28,7,,{},,,,,,,"['Kharkiv oblast', 'Donetsk oblast', 'Dnipropetrovsk oblast']","{'north': NaN, 'east': NaN}",,
2025-04-01 20:00,2025-04-02 9:00,Shahed-136/131,"Primorsko-Akhtarsk and Chauda, Crimea and Millerovo",Ukraine,,74,41,20,,{},,,,,,,"['Kharkiv oblast', 'Donetsk oblast', 'Odesa oblast']","{'south': 24, 'north': NaN, 'east': NaN}",,
2025-04-01,2025-04-01,Unknown UAV,,south,,4,4,,,{},,,,,,,,,,
2025-04-01,2025-04-01,Reconnaissance UAV,,south,,2,2,,,{},,,,,,,,,,
2025-03-31 21:00,2025-03-31 21:00,X-59/X-69,,Zaporizhzhia oblast,,2,2,,,{},,,,,,,,,,
2025-03-30 20:00,2025-03-31 9:00,Shahed-136/131,Primorsko-Akhtarsk and Kursk oblast and Bryansk oblast and Oryol oblast and Millerovo,Ukraine,,131,57,45,,{},,,,,,,"['Sumy oblast', 'Kyiv oblast', 'Kharkiv oblast', 'Odesa oblast', 'Donetsk oblast']","{'south': 5, 'north': NaN, 'east': NaN, 'center': NaN}",,
2025-03-30 20:00,2025-03-31 9:00,Iskander-M,Kursk oblast,Ukraine,,2,0,,,{},,,,,,,,,,
2025-03-31,2025-03-31,Молнія,,south,,1,1,,,{},,,,,,,,,,
2025-03-31,2025-03-31,Lancet,,south,,1,1,,,{},,,,,,,,,,
2025-03-29 20:00,2025-03-30 9:00,Shahed-136/131,"Primorsko-Akhtarsk and Chauda, Crimea and Kursk oblast and Bryansk oblast and Millerovo",Ukraine,,111,65,35,,{},,,,,,,"['Sumy oblast', 'Kharkiv oblast', 'Odesa oblast', 'Donetsk oblast']","{'south': 5, 'north': NaN, 'east': NaN, 'center': NaN}",,
2025-03-29 20:00,2025-03-30 9:00,Ballistic Missile,Rostov oblast,Ukraine,,1,0,,,{},,,,,,,,,,
2025-03-30,2025-03-30,Молнія,,south,,2,2,,,{},,,,,,,,,,
2025-03-28 20:00,2025-03-29 8:30,Shahed-136/131,"Primorsko-Akhtarsk and Chauda, Crimea and Kursk oblast and Millerovo",Ukraine,,172,94,69,,{},,,,,,,"['Sumy oblast', 'Kharkiv oblast', 'Dnipropetrovsk oblast']","{'south': 1, 'north': NaN, 'east': NaN, 'center': NaN}",,
2025-03-27 18:00,2025-03-28 9:00,Shahed-136/131,"Primorsko-Akhtarsk and Chauda, Crimea and Kursk oblast and Bryansk oblast and Millerovo and Hvardiiske, Crimea",Ukraine,,163,89,51,,{},,,,,,,"['Sumy oblast', 'Kharkiv oblast', 'Dnipropetrovsk oblast', 'Poltava oblast', 'Odesa oblast', 'Mykolaiv oblast', 'Zaporizhzhia oblast']","{'south': 12, 'west': 2, 'north': NaN, 'center': NaN}",,
2025-03-28,2025-03-28,Unknown UAV,,south,,5,5,,,{},,,,,,,,,,
2025-03-28,2025-03-28,Reconnaissance UAV,,south,,1,1,,,{},,,,,,,,,,
2025-03-26 20:00,2025-03-27 9:00,Shahed-136/131,"Primorsko-Akhtarsk and Chauda, Crimea and Kursk oblast and Millerovo",Ukraine,,86,42,26,,{},,,,,,,"['Sumy oblast', 'Kharkiv oblast', 'Dnipropetrovsk oblast', 'Chernihiv oblast']","{'south': 3, 'west': 2, 'north': NaN, 'center': NaN}",,
2025-03-26 20:00,2025-03-27 9:00,Iskander-M,Voronezh oblast,Ukraine,,1,0,,,{},,,,,,,,,,
2025-03-27,2025-03-27,Unknown UAV,,south,,3,3,,,{},,,,,,,,,,
2025-03-27,2025-03-27,Reconnaissance UAV,,south,,3,3,,,{},,,,,,,,,,
2025-03-25 20:00,2025-03-26 9:00,Shahed-136/131,"Primorsko-Akhtarsk and Chauda, Crimea and Kursk oblast and Millerovo",Ukraine,,117,56,48,,{},,,,,,,"['Sumy oblast', 'Kirovohrad oblast', 'Dnipropetrovsk oblast', 'Cherkasy oblast']","{'south': 11, 'north': NaN, 'center': NaN, 'east': NaN}",,
2025-03-26,2025-03-26,Unknown UAV,,south,,2,2,,,{},,,,,,,,,,
2025-03-26,2025-03-26,Reconnaissance UAV,,south,,4,4,,,{},,,,,,,,,,
2025-03-24 18:00,2025-03-25 9:00,Shahed-136/131,"Primorsko-Akhtarsk and Chauda, Crimea and Kursk oblast and Millerovo",Ukraine,,139,78,34,,{},,,,,,,"['Kyiv oblast', 'Sumy oblast', 'Kharkiv oblast', 'Kirovohrad oblast', 'Poltava oblast', 'Cherkasy oblast', 'Odesa oblast']","{'south': 9, 'north': NaN, 'center': NaN}",,
2025-03-24 18:00,2025-03-25 9:00,Iskander-M,Crimea,Kherson oblast,,1,0,,,{},,,,,,,,,,
2025-03-25,2025-03-25,ZALA,,south,,1,1,,,{},,,,,,,,,,
2025-03-23 20:00,2025-03-24 8:00,Shahed-136/131,Primorsko-Akhtarsk and Kursk oblast and Millerovo,Ukraine,,99,57,36,,{},,,,,,,"['Kyiv oblast', 'Sumy oblast', 'Kharkiv oblast', 'Kirovohrad oblast', 'Zaporizhzhia oblast']","{'south': NaN, 'west': NaN, 'north': NaN, 'center': NaN}",,
2025-03-24,2025-03-24,Молнія,,south,,1,1,,,{},,,,,,,,,,
2025-03-24,2025-03-24,Supercam,,south,,1,1,,,{},,,,,,,,,,
